ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv2186c,-,hypothetical protein,10,9,1,7,0,3,0,0.4,59,ES
Rv2187,fadD15,Long-chain-fatty-acid-CoA ligase FadD15 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),35,34,1,0,0,35,0,0.971428571,166.9705882,NE
Rv2188c,pimB,Mannosyltransferase PimB,19,17,2,19,0,0,0,0,0,ES
Rv2189c,-,hypothetical protein,12,8,4,0,0,12,0,0.916666667,59.45454545,NE
Rv2190c,-,hypothetical protein,20,18,2,0,0,20,0,0.95,181.2631579,NE
Rv2191,-,hypothetical protein,27,24,3,1,0,26,0,0.925925926,153.04,NE
Rv2192c,trpD,Probable anthranilate phosphoribosyltransferase TrpD,7,7,0,7,0,0,0,0,0,ES
Rv2193,ctaE,Probable cytochrome C oxidase (subunit III) CtaE,17,16,1,0,17,0,0,0.352941176,1.5,GD
Rv2194,qcrC,Probable ubiquinol-cytochrome C reductase QcrC (cytochrome C subunit),12,12,0,0,12,0,0,0.416666667,1.4,GD
Rv2195,qcrA,Probable rieske iron-sulfur protein QcrA,22,21,1,0,22,0,0,0.227272727,8.2,GD
Rv2196,qcrB,Probable ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit),31,29,2,0,28,3,0,0.419354839,12.38461538,GD
Rv2197c,-,Probable conserved transmembrane protein,13,12,1,0,0,13,0,1,177,NE
Rv2198c,mmpS3,Probable conserved membrane protein MmpS3,14,14,0,0,0,14,0,1,73.07142857,NE
Rv2199c,-,Possible conserved integral membrane protein,8,8,0,0,0,8,0,0.5,177.25,NE
Rv2200c,ctaC,Probable transmembrane cytochrome C oxidase (subunit II) CtaC,21,21,0,0,18,3,0,0.428571429,52.55555556,GD
Rv2201,asnB,Probable asparagine synthetase AsnB,30,29,1,28,0,2,0,0.1,130.6666667,ES
Rv2202c,adoK,Adenosine kinase,20,19,1,0,19,1,0,0.3,8.333333333,GD
Rv2203,-,Possible conserved membrane protein,15,14,1,0,0,15,0,1,216.4,NE
Rv2204c,-,hypothetical protein,4,4,0,0,0,4,0,0,0,NE
Rv2205c,-,hypothetical protein,13,12,1,0,0,13,0,1,110,NE
Rv2206,-,Probable conserved transmembrane protein,10,9,1,0,0,10,0,1,38.8,NE
Rv2207,cobT,Probable nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase CobT,8,7,1,0,0,8,0,1,17.375,NE
Rv2208,cobS,Probable cobalamin 5'-phosphate synthase CobS,10,8,2,0,0,10,0,0.9,59.22222222,NE
Rv2209,-,Probable conserved integral membrane protein,26,23,3,2,0,0,24,0.923076923,172.3333333,GA
Rv2210c,ilvE,Branched-chain amino acid transaminase IlvE,23,23,0,22,0,0,1,0.086956522,12.5,ES
Rv2211c,gcvT,Probable aminomethyltransferase GcvT (glycine cleavage system T protein),18,17,1,17,0,1,0,0.111111111,43,ES
Rv2212,-,Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase),11,10,1,0,0,11,0,1,147.4545455,NE
Rv2213,pepB,Probable aminopeptidase PepB,16,14,2,0,0,16,0,0.9375,103.7333333,NE
Rv2214c,ephD,Possible short-chain dehydrogenase EphD,32,30,2,0,0,32,0,0.96875,114.6129032,NE
Rv2215,dlaT,"DlaT, dihydrolipoamide acyltransferase, E2 component of pyruvate dehydrogenase",15,12,3,0,0,15,0,0.733333333,12.90909091,NE
Rv2216,-,hypothetical protein,13,12,1,0,0,13,0,0.923076923,104.9166667,NE
Rv2217,lipB,Probable lipoate biosynthesis protein B LipB,12,11,1,8,0,4,0,0.416666667,35.8,ES
Rv2218,lipA,Probable lipoate biosynthesis protein A LipA,15,14,1,13,0,2,0,0.133333333,46,ES
Rv2219,-,Probable conserved transmembrane protein,9,8,1,0,7,2,0,0.444444444,82,GD
Rv2219A,-,Probable conserved membrane protein,3,3,0,0,0,3,0,1,80,NE
Rv2220,glnA1,Glutamine synthetase GlnA1 (glutamine synthase) (GS-I),30,30,0,29,0,0,1,0.033333333,654,ES
Rv2221c,glnE,Glutamate-ammonia-ligase adenylyltransferase GlnE (glutamine-synthetase adenylyltransferase),39,37,2,0,20,19,0,0.794871795,14.06451613,GD
Rv2222c,glnA2,Probable glutamine synthetase GlnA2 (glutamine synthase) (GS-II),21,20,1,0,0,21,0,1,54.61904762,NE
Rv2223c,-,Probable exported protease,29,26,3,0,0,29,0,1,154.5172414,NE
Rv2224c,caeA,Probable carboxylesterase CaeA,30,28,2,0,0,10,20,0.966666667,281.3103448,GA
Rv2225,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB,15,15,0,15,0,0,0,0,0,ES
Rv2226,-,hypothetical protein,25,23,2,0,0,25,0,1,55.36,NE
Rv2227,-,hypothetical protein,19,17,2,0,0,19,0,0.947368421,56.83333333,NE
Rv2228c,-,"Multifunctional protein Has RNASE H,alpha-ribazole phosphatase, and acid phosphatase activities",20,20,0,0,17,3,0,0.55,41.45454545,GD
Rv2229c,-,hypothetical protein,5,4,1,0,1,4,0,0.8,45,NE
Rv2230c,-,hypothetical protein,16,14,2,0,0,16,0,0.9375,33.8,NE
Rv2231c,cobC,Possible aminotransferase CobC,16,15,1,0,0,16,0,0.9375,34.13333333,NE
Rv2231A,vapC16,Possible toxin VapC16,5,5,0,0,0,5,0,1,107.2,NE
Rv2231B,vapB16,Possible antitoxin VapB16,3,3,0,0,0,3,0,1,35,NE
Rv2232,ptkA,Protein tyrosine kinase transcriptional regulatory protein PtkA,11,9,2,0,0,11,0,0.909090909,25.1,NE
Rv2234,ptpA,Phosphotyrosine protein phosphatase PtpA (protein-tyrosine-phosphatase) (PTPase) (LMW phosphatase),7,6,1,0,0,7,0,1,64.14285714,NE
Rv2235,-,Probable conserved transmembrane protein,17,17,0,0,16,1,0,0.470588235,2.75,GD
Rv2236c,cobD,Probable cobalamin biosynthesis transmembrane protein CobD,13,10,3,0,1,12,0,0.692307692,31.88888889,NE
Rv2237,-,hypothetical protein,17,15,2,0,0,17,0,0.941176471,125.3125,NE
Rv2237A,-,hypothetical protein,4,4,0,0,0,4,0,1,89.75,NE
Rv2238c,ahpE,Probable peroxiredoxin AhpE,6,3,3,0,0,6,0,0.666666667,51,NE
Rv2239c,-,hypothetical protein,4,4,0,0,0,4,0,1,48.25,NE
Rv2240c,-,hypothetical protein,5,5,0,0,0,5,0,1,178.2,NE
Rv2241,aceE,Pyruvate dehydrogenase E1 component AceE (pyruvate decarboxylase) (pyruvate dehydrogenase) (pyruvic dehydrogenase),58,56,2,0,0,58,0,1,81.10344828,NE
Rv2242,-,hypothetical protein,17,15,2,16,0,1,0,0.058823529,39,ES
Rv2243,fabD,Malonyl CoA-acyl carrier protein transacylase FabD (malonyl CoA:ACPM acyltransferase) (MCT),7,6,1,5,0,2,0,0.142857143,149,ES
Rv2244,acpM,Meromycolate extension acyl carrier protein AcpM,6,4,2,6,0,0,0,0,0,ES
Rv2245,kasA,3-oxoacyl-[acyl-carrier protein] synthase 1 KasA (beta-ketoacyl-ACP synthase) (KAS I),16,16,0,15,0,1,0,0.0625,8,ES
Rv2246,kasB,3-oxoacyl-[acyl-carrier protein] synthase 2 KasB (beta-ketoacyl-ACP synthase) (KAS I),19,17,2,0,0,19,0,0.947368421,46.27777778,NE
Rv2247,accD6,Acetyl/propionyl-CoA carboxylase (beta subunit) AccD6,14,14,0,0,13,1,0,0.428571429,8.666666667,GD
Rv2248,-,hypothetical protein,12,11,1,0,0,12,0,1,50.75,NE
Rv2249c,glpD1,Probable glycerol-3-phosphate dehydrogenase GlpD1,20,19,1,0,0,20,0,0.8,43.0625,NE
Rv2250c,-,Possible transcriptional regulatory protein,11,10,1,0,0,11,0,0.909090909,91.9,NE
Rv2250A,-,Possible flavoprotein,3,3,0,0,0,3,0,1,55.33333333,NE
Rv2251,-,Possible flavoprotein,9,9,0,0,0,9,0,1,64.44444444,NE
Rv2252,-,Diacylglycerol kinase,18,15,3,0,0,18,0,0.888888889,26.375,NE
Rv2253,-,Possible secreted unknown protein,12,11,1,0,0,12,0,0.75,112.1111111,NE
Rv2254c,-,Probable integral membrane protein,6,3,3,0,0,6,0,0.833333333,51,NE
Rv2255c,-,Hypothetical protein,2,2,0,0,0,2,0,1,148.5,NE
Rv2256c,-,hypothetical protein,7,7,0,0,0,7,0,1,48.42857143,NE
Rv2257c,-,hypothetical protein,10,9,1,0,0,10,0,1,122.6,NE
Rv2258c,-,Possible transcriptional regulatory protein,15,15,0,0,0,15,0,1,233.9333333,NE
Rv2259,mscR,S-nitrosomycothiol reductase MscR,14,13,1,0,0,14,0,0.928571429,74.76923077,NE
Rv2260,-,hypothetical protein,6,5,1,0,0,6,0,0.833333333,44.4,NE
Rv2261c,-,hypothetical protein,7,7,0,0,0,7,0,1,123.5714286,NE
Rv2262c,-,hypothetical protein,14,11,3,0,0,14,0,0.928571429,112,NE
Rv2263,-,Possible oxidoreductase,13,12,1,0,0,13,0,1,142.4615385,NE
Rv2264c,-,Conserved hypothetical proline rich protein,32,29,3,0,0,32,0,1,91.375,NE
Rv2265,-,Possible conserved integral membrane protein,17,17,0,0,0,17,0,1,105.0588235,NE
Rv2266,cyp124,Probable cytochrome P450 124 Cyp124,17,16,1,0,0,17,0,0.941176471,120.1875,NE
Rv2267c,-,hypothetical protein,37,37,0,0,0,37,0,0.891891892,90.75757576,NE
Rv2268c,cyp128,Probable cytochrome P450 128 Cyp128,28,25,3,0,0,28,0,0.785714286,33.09090909,NE
Rv2269c,-,Hypothetical protein,12,7,5,0,0,12,0,0.833333333,82.2,NE
Rv2270,lppN,Probable lipoprotein LppN,11,9,2,0,0,11,0,0.818181818,117.2222222,NE
Rv2271,-,hypothetical protein,7,7,0,0,0,7,0,1,89.85714286,NE
Rv2272,-,Probable conserved transmembrane protein,4,4,0,0,0,4,0,1,55.25,NE
Rv2273,-,Probable conserved transmembrane protein,6,5,1,0,0,6,0,1,63.66666667,NE
Rv2274c,mazF8,Possible toxin MazF8,9,9,0,0,0,9,0,0.888888889,90.875,NE
Rv2274A,mazE8,Possible antitoxin MazE8,4,4,0,0,0,4,0,1,184.75,NE
Rv2275,-,hypothetical protein,19,18,1,0,0,19,0,0.894736842,66.29411765,NE
Rv2276,cyp121,Cytochrome P450 121 Cyp121,18,17,1,0,0,18,0,0.944444444,43.58823529,NE
Rv2277c,-,Possible glycerolphosphodiesterase,13,12,1,0,0,13,0,0.846153846,32.54545455,NE
Rv2278,-,Putative transposase for insertion sequence element IS6110 (fragment),5,5,0,0,0,5,0,1,168,NE
Rv2279,-,Probable transposase,25,23,2,0,0,25,0,0.96,187.0416667,NE
Rv2280,-,Probable dehydrogenase,18,16,2,0,0,18,0,0.944444444,64.23529412,NE
Rv2281,pitB,Putative phosphate-transport permease PitB,26,23,3,0,0,26,0,0.884615385,51.26086957,NE
Rv2282c,-,Probable transcription regulator (LysR family),14,11,3,0,0,14,0,0.928571429,37.69230769,NE
Rv2283,-,Hypothetical protein,3,3,0,0,0,3,0,1,61.66666667,NE
Rv2284,lipM,Probable esterase LipM,29,26,3,0,0,29,0,0.931034483,51.22222222,NE
Rv2285,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),23,19,4,0,0,23,0,1,70.34782609,NE
Rv2286c,-,hypothetical protein,10,10,0,0,0,10,0,1,146.2,NE
Rv2287,yjcE,Probable conserved integral membrane transport protein YjcE,20,16,4,0,0,20,0,0.95,97.21052632,NE
Rv2288,-,Hypothetical protein,5,5,0,0,0,5,0,1,138.4,NE
Rv2289,cdh,Probable CDP-diacylglycerol pyrophosphatase Cdh (CDP-diacylglycerol diphosphatase) (CDP-diacylglycerol phosphatidylhydrolase),22,19,3,0,0,22,0,0.909090909,140.35,NE
Rv2290,lppO,Probable conserved lipoprotein LppO,14,13,1,0,0,14,0,1,106.5714286,NE
Rv2291,sseB,Probable thiosulfate sulfurtransferase SseB,17,16,1,0,0,17,0,0.882352941,114.0666667,NE
Rv2292c,-,Hypothetical protein,2,2,0,0,0,2,0,1,124.5,NE
Rv2293c,-,hypothetical protein,14,14,0,0,0,14,0,1,79.5,NE
Rv2294,-,Probable aminotransferase,24,20,4,0,0,24,0,0.958333333,208.6521739,NE
Rv2295,-,hypothetical protein,12,12,0,0,0,12,0,1,111,NE
Rv2296,-,Probable haloalkane dehalogenase,17,14,3,0,0,17,0,0.882352941,209.2,NE
Rv2297,-,hypothetical protein,8,7,1,0,0,8,0,0.875,104.4285714,NE
Rv2298,-,hypothetical protein,17,16,1,0,0,17,0,0.941176471,105.875,NE
Rv2299c,htpG,Probable chaperone protein HtpG (heat shock protein) (HSP90 family protein) (high temperature protein G),30,28,2,0,0,30,0,0.933333333,113.25,NE
Rv2300c,-,hypothetical protein,18,15,3,0,0,18,0,0.888888889,231.125,NE
Rv2301,cut2,Probable cutinase Cut2,11,10,1,0,0,11,0,1,181.3636364,NE
Rv2302,-,hypothetical protein,5,5,0,0,0,5,0,1,213,NE
Rv2303c,-,Probable antibiotic-resistance protein,19,16,3,0,0,19,0,0.947368421,136.7222222,NE
Rv2304c,-,Hypothetical protein,1,1,0,0,0,1,0,1,22,Uncertain
Rv2305,-,hypothetical protein,10,10,0,0,0,10,0,1,99,NE
Rv2306A,-,Possible conserved membrane protein,8,8,0,0,0,8,0,0.875,143.4285714,NE
Rv2306B,-,Possible conserved membrane protein,6,6,0,0,0,6,0,1,62,NE
Rv2307c,-,hypothetical protein,20,18,2,0,0,20,0,0.95,137.0526316,NE
Rv2307A,-,Hypothetical glycine rich protein,4,3,1,0,0,4,0,1,128,NE
Rv2307B,-,Hypothetical glycine rich protein,21,21,0,0,0,21,0,0.761904762,26.0625,NE
Rv2307D,-,Hypothetical protein,6,4,2,0,0,6,0,1,113.3333333,NE
Rv2308,-,hypothetical protein,18,17,1,0,0,18,0,0.944444444,193.2941176,NE
Rv2309c,-,Possible integrase (fragment),10,9,1,0,0,10,0,0.9,146.6666667,NE
Rv2309A,-,Hypothetical protein,13,11,2,0,0,13,0,1,99.15384615,NE
Rv2310,-,Possible excisionase,3,3,0,0,0,3,0,1,93,NE
Rv2311,-,hypothetical protein,7,7,0,0,0,7,0,1,251.2857143,NE
Rv2312,-,Hypothetical protein,3,3,0,0,0,3,0,1,213.6666667,NE
Rv2313c,-,Hypothetical protein,10,6,4,0,0,10,0,1,194.6,NE
Rv2314c,-,hypothetical protein,17,14,3,0,0,17,0,0.941176471,108.125,NE
Rv2315c,-,hypothetical protein,33,32,1,0,10,23,0,0.909090909,63.73333333,NE
Rv2316,uspA,Probable sugar-transport integral membrane protein ABC transporter UspA,14,13,1,0,0,14,0,0.857142857,89.33333333,NE
Rv2317,uspB,Probable sugar-transport integral membrane protein ABC transporter UspB,14,13,1,0,0,14,0,0.785714286,29.81818182,NE
Rv2318,uspC,Probable periplasmic sugar-binding lipoprotein UspC,31,27,4,0,0,31,0,0.709677419,47.45454545,NE
Rv2319c,-,Universal stress protein family protein,20,18,2,0,0,20,0,0.8,50.75,NE
Rv2320c,rocE,Probable cationic amino acid transport integral membrane protein RocE,28,26,2,0,0,28,0,0.964285714,70.96296296,NE
Rv2321c,rocD2,Probable ornithine aminotransferase (C-terminus part) RocD2 (ornithine--oxo-acid aminotransferase),10,8,2,0,0,10,0,0.9,39.11111111,NE
Rv2322c,rocD1,Probable ornithine aminotransferase (N-terminus part) RocD1 (ornithine--oxo-acid aminotransferase),10,8,2,0,0,10,0,0.8,23.125,NE
Rv2323c,-,hypothetical protein,22,20,2,0,0,22,0,0.818181818,101.7777778,NE
Rv2324,-,Probable transcriptional regulatory protein (probably AsnC-family),3,3,0,0,0,3,0,1,133,NE
Rv2325c,-,hypothetical protein,10,8,2,0,0,10,0,0.9,74.11111111,NE
Rv2326c,-,Possible transmembrane ATP-binding protein ABC transporter,23,18,5,0,0,23,0,0.956521739,114.7272727,NE
Rv2327,-,hypothetical protein,6,5,1,0,0,6,0,0.833333333,71.6,NE
Rv2328,PE23,PE family protein PE23,13,13,0,0,0,13,0,1,54.30769231,NE
Rv2329c,narK1,Probable nitrite extrusion protein 1 NarK1 (nitrite facilitator 1),29,28,1,0,0,29,0,1,130.7586207,NE
Rv2330c,lppP,Probable lipoprotein LppP,8,8,0,0,0,8,0,1,150.75,NE
Rv2331,-,Hypothetical protein,7,7,0,0,0,7,0,1,96.42857143,NE
Rv2331A,-,Hypothetical protein,6,6,0,0,0,6,0,0.833333333,114.8,NE
Rv2332,mez,Probable [NAD] dependent malate oxidoreductase Mez (malic enzyme) (NAD-malic enzyme) (malate dehydrogenase (oxaloacetate decarboxylating)) (pyruvic-malic carboxylase) (NAD-me),29,26,3,0,0,29,0,0.965517241,133.9285714,NE
Rv2333c,stp,Integral membrane drug efflux protein Stp,21,21,0,0,0,21,0,1,218.2857143,NE
Rv2334,cysK1,Cysteine synthase a CysK1 (O-acetylserine sulfhydrylase A) (O-acetylserine (thiol)-lyase A) (CSASE A),15,13,2,0,0,15,0,0.8,40,NE
Rv2335,cysE,Probable serine acetyltransferase CysE (sat),6,6,0,0,0,6,0,1,35.83333333,NE
Rv2336,-,Hypothetical protein,29,29,0,0,0,29,0,0.896551724,41.23076923,NE
Rv2337c,-,Hypothetical protein,11,10,1,0,0,11,0,0.818181818,149.3333333,NE
Rv2338c,moeW,Possible molybdopterin biosynthesis protein MoeW,39,39,0,0,0,39,0,0.846153846,51.6969697,NE
Rv2339,mmpL9,Probable conserved transmembrane transport protein MmpL9,82,75,7,0,0,82,0,0.87804878,72.93055556,NE
Rv2340c,PE_PGRS39,PE-PGRS family protein PE_PGRS39,16,12,4,0,0,16,0,1,167.3125,NE
Rv2341,lppQ,Probable conserved lipoprotein LppQ,4,4,0,0,0,4,0,1,361,NE
Rv2342,-,hypothetical protein,4,4,0,0,0,4,0,1,81,NE
Rv2343c,dnaG,Probable DNA primase DnaG,26,24,2,25,0,1,0,0.038461538,2,ES
Rv2344c,dgt,Probable deoxyguanosine triphosphate triphosphohydrolase Dgt (dGTPase) (dGTP triphosphohydrolase),27,25,2,0,0,27,0,0.925925926,74.56,NE
Rv2345,-,Possible conserved transmembrane protein,30,29,1,0,0,0,30,1,225.4666667,GA
Rv2346c,esxO,Putative ESAT-6 like protein EsxO (ESAT-6 like protein 6),3,3,0,0,0,0,3,1,219,GA
Rv2347c,esxP,Putative ESAT-6 like protein EsxP (ESAT-6 like protein 7),4,4,0,0,0,0,4,1,150.25,GA
Rv2348c,-,Hypothetical protein,3,3,0,0,0,0,3,1,244,GA
Rv2349c,plcC,Probable phospholipase C 3 PlcC,29,28,1,0,0,0,29,1,265.0344828,GA
Rv2350c,plcB,Membrane-associated phospholipase C 2 PlcB,23,23,0,0,0,0,23,1,166.8695652,GA
Rv2351c,plcA,Membrane-associated phospholipase C 1 PlcA (MTP40 antigen),25,22,3,0,0,3,22,1,301.84,GA
Rv2352c,PPE38,PPE family protein PPE38,17,15,2,0,0,0,17,1,367.6470588,GA
Rv2353c,PPE39,PPE family protein PPE39,25,19,6,0,0,25,0,0.8,34.85,NE
Rv2354,-,Probable transposase for insertion sequence element IS6110 (fragment),5,5,0,0,0,5,0,1,203.6,NE
Rv2355,-,Probable transposase,25,23,2,0,0,25,0,1,182,NE
Rv2356c,PPE40,PPE family protein PPE40,31,26,5,0,0,31,0,0.903225806,103.0714286,NE
Rv2357c,glyS,Probable glycyl-tRNA synthetase GlyS (glycine--tRNA ligase) (GLYRS),32,27,5,29,0,3,0,0.09375,124.3333333,ES
Rv2358,smtB,Probable transcriptional regulatory protein SmtB (probably ArsR-family),5,5,0,0,0,5,0,1,45.6,NE
Rv2359,zur,Probable zinc uptake regulation protein Zur,6,6,0,0,0,6,0,1,74.16666667,NE
Rv2360c,-,hypothetical protein,7,7,0,0,0,7,0,1,132.8571429,NE
Rv2361c,-,Long (C50) chain Z-isoprenyl diphosphate synthase (Z-decaprenyl diphosphate synthase),18,18,0,17,0,1,0,0.111111111,103.5,ES
Rv2362c,recO,Possible DNA repair protein RecO,12,12,0,3,0,9,0,0.833333333,28.8,ESD
Rv2363,amiA2,Probable amidase AmiA2 (aminohydrolase),18,15,3,0,0,18,0,0.888888889,132.375,NE
Rv2364c,era,Probable GTP-binding protein Era,16,15,1,0,15,1,0,0.5625,5.666666667,GD
Rv2365c,-,hypothetical protein,4,4,0,0,1,3,0,1,31.25,NE
Rv2366c,-,Probable conserved transmembrane protein,22,20,2,0,0,22,0,0.954545455,67.71428571,NE
Rv2367c,-,hypothetical protein,9,7,2,0,0,9,0,0.555555556,83.2,NE
Rv2368c,phoH1,Probable PHOH-like protein PhoH1 (phosphate starvation-inducible protein PSIH),17,16,1,0,0,17,0,1,177.2352941,NE
Rv2369c,-,Hypothetical protein,3,3,0,0,0,3,0,1,101,NE
Rv2370c,-,hypothetical protein,20,19,1,0,0,20,0,0.95,129.9473684,NE
Rv2371,PE_PGRS40,PE-PGRS family protein PE_PGRS40,1,0,1,0,0,1,0,1,1,Uncertain
Rv2372c,-,hypothetical protein,7,5,2,0,0,7,0,0.714285714,146.8,NE
Rv2373c,dnaJ2,Probable chaperone protein DnaJ2,11,8,3,0,10,1,0,0.454545455,25,GD
Rv2374c,hrcA,Probable heat shock protein transcriptional repressor HrcA,23,20,3,0,0,23,0,1,101.173913,NE
Rv2375,-,hypothetical protein,9,9,0,0,0,9,0,1,200.8888889,NE
Rv2376c,cfp2,Low molecular weight antigen CFP2 (low molecular weight protein antigen 2) (CFP-2),2,2,0,0,0,2,0,1,188,Uncertain
Rv2377c,mbtH,Putative conserved protein MbtH,2,1,1,0,0,2,0,1,64,NE
Rv2378c,mbtG,Lysine-N-oxygenase MbtG (L-lysine 6-monooxygenase) (lysine N6-hydroxylase),9,9,0,0,0,9,0,0.888888889,60.5,NE
Rv2379c,mbtF,Peptide synthetase MbtF (peptide synthase),64,54,10,0,0,64,0,0.890625,33.94736842,NE
Rv2380c,mbtE,Peptide synthetase MbtE (peptide synthase),79,72,7,0,3,76,0,0.886075949,36.75714286,NE
Rv2381c,mbtD,Polyketide synthetase MbtD (polyketide synthase),44,41,3,0,6,38,0,0.772727273,14.23529412,NE
Rv2382c,mbtC,Polyketide synthetase MbtC (polyketide synthase),17,15,2,0,0,17,0,0.705882353,14.75,NE
Rv2383c,mbtB,Phenyloxazoline synthase MbtB (phenyloxazoline synthetase),51,44,7,0,0,51,0,0.862745098,53.02272727,NE
Rv2384,mbtA,Bifunctional enzyme MbtA: salicyl-AMP ligase (SAL-AMP ligase) + salicyl-S-ArCP synthetase,21,21,0,0,0,21,0,1,37.66666667,NE
Rv2385,mbtJ,Putative acetyl hydrolase MbtJ,19,16,3,0,0,19,0,1,100.2631579,NE
Rv2386c,mbtI,Isochorismate synthase MbtI,19,16,3,0,15,4,0,0.684210526,18.53846154,GD
Rv2387,-,hypothetical protein,25,24,1,0,0,25,0,1,228.96,NE
Rv2388c,hemN,Probable oxygen-independent coproporphyrinogen III oxidase HemN (coproporphyrinogenase) (coprogen oxidase),21,17,4,0,0,21,0,0.952380952,127.25,NE
Rv2389c,rpfD,Probable resuscitation-promoting factor RpfD,10,9,1,0,0,0,10,1,279.8,GA
Rv2390c,-,hypothetical protein,6,5,1,0,0,0,6,1,405.5,GA
Rv2391,sirA,Ferredoxin-dependent sulfite reductase SirA,19,16,3,0,5,14,0,0.842105263,11.3125,NE
Rv2392,cysH,"Probable 3'-phosphoadenosine 5'-phosphosulfate reductase CysH (PAPS reductase, thioredoxin DEP.) (padops reductase) (3'-phosphoadenylylsulfate reductase) (PAPS sulfotransferase)",13,12,1,0,13,0,0,0.615384615,7.375,GD
Rv2393,che1,Ferrochelatase Che1,8,6,2,0,1,7,0,0.5,48.75,NE
Rv2394,ggtB,Probable gamma-glutamyltranspeptidase precursor GgtB (gamma-glutamyltransferase) (glutamyl transpeptidase),30,26,4,0,0,30,0,0.966666667,108.0344828,NE
Rv2395,-,Probable conserved integral membrane protein,38,35,3,0,0,30,8,0.973684211,223.6486486,NE
Rv2395A,aprA,Acid and phagosome regulated protein A AprA,2,2,0,0,0,0,2,1,116.5,GA
Rv2395B,aprB,Acid and phagosome regulated protein B AprB,3,2,1,0,0,0,3,1,246.6666667,GA
Rv2396,PE_PGRS41,PE-PGRS family protein PE_PGRS41,15,9,6,0,0,9,6,0.866666667,201.6923077,NE
Rv2397c,cysA1,Sulfate-transport ATP-binding protein ABC transporter CysA1,15,14,1,0,14,1,0,0.866666667,2.769230769,GD
Rv2398c,cysW,Probable sulfate-transport integral membrane protein ABC transporter CysW,18,16,2,0,17,1,0,0.722222222,14.69230769,GD
Rv2399c,cysT,Probable sulfate-transport integral membrane protein ABC transporter CysT,10,7,3,0,10,0,0,0.9,3.777777778,GD
Rv2400c,subI,Probable sulfate-binding lipoprotein SubI,19,16,3,0,12,7,0,0.894736842,6.176470588,GD
Rv2401,-,Hypothetical protein,4,4,0,0,0,4,0,0.75,40.66666667,NE
Rv2401A,-,Possible conserved membrane protein,2,2,0,0,0,2,0,0.5,34,Uncertain
Rv2402,-,hypothetical protein,29,27,2,0,0,29,0,1,121.5517241,NE
Rv2403c,lppR,Probable conserved lipoprotein LppR,7,5,2,0,0,7,0,0.857142857,43,NE
Rv2404c,lepA,Probable GTP-binding protein LepA (GTP-binding elongation factor),30,26,4,0,0,30,0,0.966666667,57.24137931,NE
Rv2405,-,hypothetical protein,10,10,0,0,0,10,0,1,95.5,NE
Rv2406c,-,hypothetical protein,8,7,1,0,0,8,0,1,311.125,NE
Rv2407,-,hypothetical protein,11,9,2,0,0,11,0,0.818181818,135.1111111,NE
Rv2408,PE24,Possible PE family-related protein PE24,17,17,0,0,0,17,0,0.941176471,194.1875,NE
Rv2409c,-,hypothetical protein,21,21,0,0,0,21,0,1,87.04761905,NE
Rv2410c,-,hypothetical protein,11,9,2,0,0,11,0,0.909090909,60.6,NE
Rv2411c,-,hypothetical protein,24,22,2,0,0,6,18,0.958333333,314.3043478,GA
Rv2412,rpsT,30S ribosomal protein S20 RpsT,1,1,0,1,0,0,0,0,0,Uncertain
Rv2413c,-,hypothetical protein,13,11,2,13,0,0,0,0,0,ES
Rv2414c,-,hypothetical protein,12,11,1,0,0,12,0,1,149.8333333,NE
Rv2415c,-,hypothetical protein,14,13,1,0,0,14,0,0.928571429,77.92307692,NE
Rv2416c,eis,"Enhanced intracellular survival protein Eis,GCN5-related N-acetyltransferase",28,22,6,0,0,28,0,0.857142857,40.5,NE
Rv2417c,-,hypothetical protein,13,13,0,0,0,13,0,1,43.30769231,NE
Rv2418c,-,hypothetical protein,21,20,1,0,21,0,0,0.666666667,5.142857143,GD
Rv2419c,gpgP,Glucosyl-3-phosphoglycerate phosphatase GpgP,8,7,1,0,1,7,0,0.875,30.85714286,NE
Rv2420c,-,hypothetical protein,5,4,1,1,0,4,0,0.8,16.5,NE
Rv2421c,nadD,Probable nicotinate-nucleotide adenylyltransferase NadD (deamido-NAD(+) pyrophosphorylase) (deamido-NAD(+) diphosphorylase) (nicotinate mononucleotide adenylyltransferase) (NAMN adenylyltransferase),14,14,0,14,0,0,0,0,0,ES
Rv2422,-,Hypothetical protein,5,5,0,0,0,5,0,1,158.8,NE
Rv2423,-,Hypothetical protein,18,17,1,0,0,18,0,0.944444444,269.5882353,NE
Rv2424c,-,Probable transposase,7,6,1,0,0,7,0,0.857142857,201.6666667,NE
Rv2425c,-,hypothetical protein,19,19,0,0,0,19,0,1,111.5789474,NE
Rv2426c,-,hypothetical protein,11,10,1,0,0,11,0,1,150.8181818,NE
