#Command: python3 Fitness_Esimation.py demodata/out/H37Rv_expected_counts.csv demodata/H37Rv/H37RvBD1.prot_table demodata/out/H37Rv_gumbel_gene_predictions.csv
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,M0 Fitness Estimation,M1 Fitness Estimation,Mean Actual Count,TTN-Fitness Assesment
Rv2119,-,hypothetical protein Rv2119 ,21,21,True,0.18970263440982363,0.33830553809537406,0.2402952310674293,0.05057534016444081,-0.3233231376233407,-0.10008396811988243,105.05238095238094,NE
Rv2120c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,8,7,True,-0.18998707998611805,0.5687678520706404,0.191457260047014,0.35924818010037285,-0.514856788696153,-0.1795959070646881,67.1625,NE
Rv2121c,hisG,ATP phosphoribosyltransferase ,9,0,False,,,,,,,0.0,ESB
Rv2122c,hisE,phosphoribosyl-ATP pyrophosphatase ,3,0,False,,,,,,,0.0,ESB
Rv2123,PPE37,PPE FAMILY PROTEIN ,22,22,True,0.14105162824734904,0.4772010404908204,0.12730706170072162,0.3082893853137303,-0.3512225728759211,-0.11372789762207067,100.03181818181817,NE
Rv2124c,metH,"Probable 5-methyltetrahydrofolate--homocystein methyltransferase MetH (Methionine synthase, vitamin-B12 dependent isozyme) (MS) ",45,43,True,0.059992499563613626,0.6757052892870271,-0.01003451506026843,0.9199291669921483,-0.3253135639070517,-0.11176703048129882,78.01333333333334,NE
Rv2125,-,hypothetical protein Rv2125 ,11,11,True,0.5026600416103003,0.051515045186849934,0.3653837468528804,0.03043180607891184,-0.3013256086131199,-0.10369328780654223,206.34545454545457,GA
Rv2126c,PE_PGRS37,PE-PGRS FAMILY PROTEIN ,6,5,True,-0.4706155699264351,0.1959363674141548,-0.10069852295832749,0.6984723359159724,-0.63704010138694,-0.1844640382400004,45.6,NE
Rv2127,ansP1,Probable L-asparagine permease ansP1 ,26,26,True,0.5825172526195076,0.00019118912469515703,0.52483656572741,3.9355420025297106e-07,-0.19028195790003433,-0.019124145664290132,192.20384615384617,GA
Rv2128,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,6,6,True,0.4766775462842079,0.18967344295231386,0.6818810229300444,0.002322017913724027,-0.24414271094343432,-0.11631194468684852,170.33333333333334,GA
Rv2129c,-,short chain dehydrogenase ,14,14,True,0.22713105121798793,0.34878611754726424,0.3202119239743801,0.03277346795134944,-0.30740767660849316,-0.08992472183581988,110.47857142857143,GA
Rv2130c,cysS,cysteinyl-tRNA synthetase ,25,19,False,,,,,,,2.6520000000000006,ES
Rv2131c,cysQ,POSSIBLE MONOPHOSPHATASE CYSQ ,9,9,True,0.3220812712568328,0.2831233284364846,0.4119424906983716,0.02712034255302815,-0.1016027004634485,-0.06913588737728693,85.74444444444445,GA
Rv2132,-,hypothetical protein Rv2132 ,3,3,True,0.5045261526124668,0.33537823155365504,0.39440991579794343,0.23776557943933566,-0.29427278659661377,-0.13474506013861987,203.9,NE
Rv2133c,-,hypothetical protein Rv2133c ,10,10,True,0.5273042297132546,0.05148295854543134,0.2439734116646247,0.17840572242787558,-0.14074591621965443,-0.08921840736965692,150.93,NE
Rv2134c,-,hypothetical protein Rv2134c ,8,8,True,0.13880762378284273,0.6845091376013164,0.3004324123008477,0.1363449254501032,-0.3579436991634237,0.12857535479032492,101.06249999999999,NE
Rv2135c,-,hypothetical protein Rv2135c ,6,6,True,0.3813846613486643,0.29939966294763337,0.5044540945900733,0.02711143503866785,-0.21294450207892734,-0.17209686402464427,127.13333333333334,GA
Rv2136c,uppP,undecaprenyl pyrophosphate phosphatase ,14,14,True,0.1539829775608312,0.5394187302616171,0.42998464051844476,0.003394846713281087,-0.6296643395532526,-0.21758927864510882,195.72857142857146,GA
Rv2137c,-,hypothetical protein Rv2137c ,7,7,True,0.3647082830274396,0.28368189624004736,0.3502339765546522,0.10419760588506492,-0.14280215084439896,0.13037013160575014,104.07142857142857,NE
Rv2138,lppL,Probable conserved lipoprotein LppL ,20,17,True,-1.2629592725465362,2.4306082694387776e-14,-1.1982666235364088,2.689077257489137e-26,-0.6029905714355147,-0.31237489583155076,5.12,GD
Rv2139,pyrD,dihydroorotate dehydrogenase 2 ,14,3,False,,,,,,,21.557142857142857,ES
Rv2140c,TB18.6,hypothetical protein Rv2140c ,12,11,True,-0.1377217847220275,0.6162629782867006,-0.13132321019966026,0.44617620198255764,-0.3469163778685116,-0.02052709291780339,51.6,NE
Rv2141c,-,hypothetical protein Rv2141c ,22,22,True,0.3635711991009923,0.04578270011415651,0.41742155222267946,0.0003079967967508524,-0.30610182484358367,-0.02827102823617626,151.17727272727276,GA
Rv2142c,-,hypothetical protein Rv2142c ,13,13,True,0.591150091375501,0.010559833672573612,0.44541896317781826,0.003461351665187948,-0.3646974011631746,-0.10286614962233123,292.9846153846154,GA
Rv2143,-,hypothetical protein Rv2143 ,15,15,True,0.6038924583196178,0.0045305705819161934,0.5358488163135777,0.00012433033382162038,-0.23232554160022462,-0.011417525154465077,222.46666666666667,GA
Rv2144c,-,Probable transmembrane protein ,5,5,True,0.61961837975973,0.1145367263039544,0.7876172677458951,0.0012525752701964179,-0.1906252463734844,0.1165529572233826,209.57999999999998,GA
Rv2145c,wag31,CONSERVED HYPOTHETICAL PROTEIN WAG31 ,12,1,False,,,,,,,6.483333333333333,ES
Rv2146c,-,Possible conserved transmembrane protein ,1,1,True,0.44965904056470274,0.6360431908597542,0.527245272689679,0.3718982664229813,6.075263039285666e-15,6.268128532596321e-15,91.2,NE
Rv2147c,-,hypothetical protein Rv2147c ,20,8,True,-1.125160265078242,1.692981502864226e-11,-1.096212058454912,3.7761209979595756e-22,-1.636637833764669,-1.4363141084020512,84.06999999999998,GD
Rv2148c,-,hypothetical protein Rv2148c ,9,8,True,-0.06478172268492978,0.8476801009636251,0.09649734041902683,0.6437886871763396,-0.4275466358133756,-0.25812334422075445,73.73333333333335,NE
Rv2149c,yfiH,conserved hypothetical protein YfiH ,7,7,True,0.4237667109291699,0.2096381079394818,0.6592792962266372,0.0014130525985318115,-0.27800295507804085,-0.07939252503574462,162.91428571428574,GA
Rv2150c,ftsZ,cell division protein FtsZ ,8,0,False,,,,,,,0.0,ESB
Rv2151c,ftsQ,POSSIBLE CELL DIVISION PROTEIN FTSQ ,8,3,False,,,,,,,13.4125,ES
Rv2152c,murC,UDP-N-acetylmuramate--L-alanine ligase ,14,2,False,,,,,,,0.14285714285714285,ES
Rv2153c,murG,N-acetylglucosaminyl transferase ,14,1,False,,,,,,,0.0071428571428571435,ES
Rv2154c,ftsW,FtsW-like protein FtsW ,18,4,False,,,,,,,10.855555555555558,ES
Rv2155c,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase ,21,1,False,,,,,,,0.023809523809523808,ES
Rv2156c,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase ,12,0,False,,,,,,,0.0,ESB
Rv2157c,murF,"Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate- D-alanyl-D-alanyl ligase MurF ",10,0,False,,,,,,,0.0,ESB
Rv2158c,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase ",11,0,False,,,,,,,0.0,ESB
Rv2159c,-,hypothetical protein Rv2159c ,5,5,True,0.5396757385269723,0.1747435499518383,0.20852682994536137,0.43426363421755754,-0.03232833756271389,0.002552921598803673,121.0,NE
Rv2160A,-,hypothetical protein Rv2160A ,2,2,True,0.2816971726619482,0.6791878683217993,0.41885183441950585,0.31212327890015296,-0.18129559417590088,0.1639951197774587,93.8,NE
Rv2160c,-,hypothetical protein Rv2160c ,3,3,True,-0.352333275975471,0.515518138372899,0.17875758688346668,0.6182135864150058,-0.4103958876673497,-0.27780517526606335,35.93333333333333,NE
Rv2161c,-,hypothetical protein Rv2161c ,9,9,True,0.47227693167955953,0.1065310476899512,0.49240135918196376,0.007430348939736005,-0.3202463961595777,-0.03238931095046701,200.89999999999998,GA
Rv2162c,PE_PGRS38,PE-PGRS FAMILY PROTEIN ,14,13,True,-0.01567430151840674,0.9559131625860043,0.16784253000551308,0.28246119469849396,-0.36924334184693125,-0.20221023112436684,72.32857142857144,NE
Rv2163c,pbpB,Probable penicillin-binding membrane protein pbpB ,30,4,False,,,,,,,3.0766666666666667,ES
Rv2164c,-,PROBABLE CONSERVED PROLINE RICH MEMBRANE PROTEIN ,10,2,False,,,,,,,3.07,ES
Rv2165c,mraW,S-adenosyl-methyltransferase MraW ,19,15,True,-1.1063529489930775,1.3060479980767759e-10,-0.9053347731076784,1.3838552879332554e-14,,,4.726315789473685,GD
Rv2166c,-,hypothetical protein Rv2166c ,8,4,True,-0.7624905847760007,0.009497275482322981,-0.8224557699050349,1.3786276962866849e-05,-1.093058674487309,-0.7262607404636922,63.512499999999996,GD
Rv2167c,-,PROBABLE TRANSPOSASE ,24,24,True,0.4298621412829125,0.011592832756492,0.22681870405788945,0.04851997013841944,-0.31856038068676074,-0.07825878567195668,181.4041666666667,GA
Rv2168c,-,PROBABLE TRANSPOSASE ,5,5,True,0.5053916411588502,0.20562540101472185,0.4217261071268418,0.09828808579680982,-0.22067427907852014,-0.005344786539593391,172.45999999999998,NE
Rv2169c,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,6,6,True,-0.5127280169944226,0.1557401718716813,-0.6088604382522378,0.006858448868949795,-0.39459320842852524,-0.22962908115427208,23.566666666666674,GD
Rv2170,-,hypothetical protein Rv2170 ,15,15,True,0.2208456251951977,0.3450897143071952,0.45673733036350106,0.0011801135071420024,-0.21343978931068866,0.13567565932759734,87.69333333333334,GA
Rv2171,lppM,Probable conserved lipoprotein lppM ,8,8,True,0.3727942660645655,0.23983190418308192,0.4787512913517371,0.014932160915131963,-0.36459845274339064,-0.08871969694261538,176.7125,GA
Rv2172c,-,hypothetical protein Rv2172c ,18,2,False,,,,,,,11.705555555555556,ES
Rv2173,idsA2,PROBABLE GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA2 (GGPPSASE) (GGPP SYNTHETASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE) ,19,16,True,-0.3205478890637425,0.11143785647782634,-0.29449872266059285,0.02152389800947983,-0.31034516259435774,-0.08701224676990062,30.78421052631579,GD
Rv2174,-,Possible conserved integral membrane protein ,26,3,False,,,,,,,3.6499999999999995,ES
Rv2175c,-,conserved hypothetical regulatory protein ,7,7,True,0.5549148251432449,0.09317526127059961,0.43465987332642575,0.040703141246310526,-0.22312493056674934,-0.08279491532548697,194.4857142857143,GA
Rv2176,pknL,PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE L PKNL (PROTEIN KINASE L) (STPK L) ,24,22,True,0.05880745221903176,0.7697725116128347,0.2703182213114986,0.01743609664656596,-0.40801239999963873,-0.2322224428649794,94.11666666666667,GA
Rv2177c,-,POSSIBLE TRANSPOSASE ,6,6,True,0.666700046091525,0.05709263095297788,0.4772473685694203,0.03732134379473098,-0.03127551579355174,0.05585661054440589,161.9,GA
Rv2178c,aroG,"Probable 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible) ",17,2,False,,,,,,,3.2529411764705887,ES
Rv2179c,-,hypothetical protein Rv2179c ,7,7,True,0.2968143217324885,0.3915571024312489,0.07448044992877685,0.757474833774894,-0.14913071290336982,-0.05768792776243595,90.21428571428574,NE
Rv2180c,-,Probable conserved integral membrane protein ,12,12,True,0.4527634246927153,0.06921031186286544,0.38995712036285674,0.015184973208099936,-0.11157838654067792,0.005092332168554022,118.76666666666665,GA
Rv2181,-,Probable conserved integral membrane protein ,20,19,True,0.3681820042733474,0.05486980826237814,0.3880772064477773,0.001493351259497717,-0.48471068973309905,-0.24126931308910932,230.53500000000003,GA
Rv2182c,-,1-acylglycerol-3-phosphate O-acyltransferase ,22,5,True,-1.6903522774079895,8.701566288407017e-28,-1.887336243157622,1.6401993773259213e-70,-1.1303847866989303,-0.5634261582000051,2.2181818181818183,GD
Rv2183c,-,hypothetical protein Rv2183c ,6,6,True,-0.0659345405089717,0.8751644010333784,0.10326410112022848,0.6909362975032055,-0.22569851207357822,-0.14398224859975056,46.199999999999996,NE
Rv2184c,-,hypothetical protein Rv2184c ,18,18,True,0.275746261154793,0.18872550112531022,0.35256547347337164,0.006711413111211516,-0.18052905676384418,0.0511673496517947,92.35,GA
Rv2185c,TB16.3,hypothetical protein Rv2185c ,13,13,True,0.09838450010689755,0.7155078486470277,-0.06804881851402353,0.7009279815264011,-0.3195273456064383,-0.19441643831994906,84.1923076923077,NE
Rv2186c,-,hypothetical protein Rv2186c ,10,5,True,-1.1762177786509187,1.427966157705775e-06,-1.1458243264784849,2.047589615912554e-12,-1.1477540211750132,-0.728296075343782,23.47,GD
Rv2187,fadD15,Probable long-chain-fatty-acid-CoA ligase fadD15 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,35,34,True,0.4803918820359704,0.0003885034144373622,0.42729195548694343,1.93552317960982e-06,-0.21925997207854606,0.010738425056817779,162.23714285714283,GA
Rv2188c,-,hypothetical protein Rv2188c ,19,0,False,,,,,,,0.0,ESB
Rv2189c,-,hypothetical protein Rv2189c ,12,11,True,-0.2478069393583018,0.3446618374669115,-0.07789879817140873,0.66785612038224,-0.48345554961847714,-0.16772651177964343,54.49999999999999,NE
Rv2190c,-,hypothetical protein Rv2190c ,20,19,True,0.3434560800992414,0.0763725453146882,0.2781402793166981,0.02607922374893829,-0.38300226196957515,0.018720764733683646,172.24,GA
Rv2191,-,hypothetical protein Rv2191 ,26,25,True,0.2914576212386995,0.0885355072750979,0.4023822293832716,0.00014776113984163003,-0.3668895950851349,-0.08523365292677067,147.1076923076923,GA
Rv2192c,trpD,anthranilate phosphoribosyltransferase ,7,0,False,,,,,,,0.0,ESB
Rv2193,ctaE,PROBABLE CYTOCHROME C OXIDASE (SUBUNIT III) CTAE ,17,6,True,-1.614439350427443,1.1620098285483228e-19,-1.754046202187087,3.6565856712632665e-47,,,0.5,GD
Rv2194,qcrC,Probable Ubiquinol-cytochrome C reductase QcrC(cytochrome C subunit) ,12,5,True,-1.6001995485079912,7.692684938956796e-14,-1.8638406571193156,8.598688084188637e-38,,,0.5,GD
Rv2195,qcrA,Probable Rieske iron-sulfur protein QcrA ,22,5,False,,,,,,,1.8590909090909093,ES
Rv2196,qcrB,Probable Ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit) ,31,16,True,-1.4457507401336092,1.3745038449612461e-28,-1.4591711988586444,1.7801698206319956e-59,,,5.229032258064516,GD
Rv2197c,-,Probable conserved transmembrane protein ,13,13,True,0.4648733926125682,0.05004606313672201,0.44729597532135323,0.003325882158866404,-0.2726632412752418,-0.028726225968242543,176.9923076923077,GA
Rv2198c,mmpS3,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS3 ,14,14,True,0.21683552965505284,0.3741381212158122,-0.24774389017954263,0.10367513232133922,-0.13729093663109818,-0.034124682408415874,72.90714285714286,NE
Rv2199c,-,Possible conserved integral membrane protein ,8,5,True,-1.0000507124526434,0.0004159484548971613,-1.0486212754424198,1.5413758815924915e-08,-1.507245091576133,-1.3308752848144734,88.6125,GD
Rv2200c,ctaC,PROBABLE TRANSMEMBRANE CYTOCHROME C OXIDASE (SUBUNIT II) CTAC ,21,11,True,-1.3467570920207241,5.183845595163851e-17,-1.411106254988209,6.527904910415968e-38,-1.366559637517895,-1.177049554781692,22.452380952380953,GD
Rv2201,asnB,Probable asparagine synthetase AsnB ,30,7,False,,,,,,,13.09,ES
Rv2202c,cbhK,Probable carbohydrate kinase CbhK ,20,14,True,-1.4726216115448938,2.83368200289168e-19,-1.609192668830512,7.960535201363138e-47,-0.6450230376680015,-0.4072899911368752,2.6350000000000002,GD
Rv2203,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,15,15,True,0.6116136733207929,0.003977458530161457,0.5252411384612778,0.00017090583758844376,-0.21244683824452734,-0.03602517934443954,216.34,GA
Rv2204c,-,hypothetical protein Rv2204c ,4,1,True,-1.7939449792574083,3.686328043100343e-06,-2.152713876231482,3.462059294868591e-17,-0.03025672513223604,0.44645760520577665,0.025,GD
Rv2205c,-,hypothetical protein Rv2205c ,13,13,True,0.29342942262116795,0.23833954267794272,0.4116833699092832,0.00714192945702362,-0.2384468893625064,-0.07708684905622527,109.94615384615385,GA
Rv2206,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,10,10,True,-0.17873507201929867,0.5471715259013384,-0.13925676420402555,0.46339834545705577,-0.2660453618400146,-0.11222134765084757,38.89,NE
Rv2207,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase ,8,8,True,-0.38475927199850224,0.2239192905182453,-0.059193900394642035,0.7933352489244443,-0.1287684417204758,0.01497738500469557,17.3875,NE
Rv2208,cobS,cobalamin synthase ,10,9,True,-0.2895744687938054,0.31011021388804716,0.11179558813781637,0.5637564783442447,-0.5161275638877708,-0.3147343680527226,53.220000000000006,NE
Rv2209,-,Probable conserved integral membrane protein ,23,23,True,0.48769431411578223,0.0045305705819161934,0.523073933528322,2.285105433455641e-06,-0.25406386167763056,0.002159985699163565,178.7695652173913,GA
Rv2210c,ilvE,branched-chain amino acid aminotransferase ,23,4,False,,,,,,,1.1,ES
Rv2211c,gcvT,glycine cleavage system aminomethyltransferase T ,18,5,True,-1.6499978597377845,1.0645664509443883e-21,-1.6953437107190181,7.588102994745406e-47,,,4.788888888888888,GD
Rv2212,-,hypothetical protein Rv2212 ,11,11,True,0.4152723698079019,0.11675151274645842,0.28861912231635617,0.0918746497226992,-0.24284441479782215,-0.005042340627685573,147.3181818181818,NE
Rv2213,pepB,leucyl aminopeptidase ,16,15,True,0.12703834789665458,0.5931751856606534,0.3171932062751644,0.023092553714111966,-0.3529796477707978,-0.13407117196603846,97.2125,GA
Rv2214c,ephD,short chain dehydrogenase ,32,31,True,0.30324977466445274,0.04440808065499717,0.3091462312985885,0.0013733303589215794,-0.23239947498311822,0.06459525584240687,110.925,GA
Rv2215,dlaT,dihydrolipoamide acetyltransferase ,15,11,True,-0.7993734220831433,9.19922699079026e-05,-0.9520653334583601,8.063904866489252e-13,-0.3064382174184392,0.04021158621507655,9.453333333333335,GD
Rv2216,-,hypothetical protein Rv2216 ,13,12,True,-0.2112001008741641,0.40774346484936813,-0.08012772044652113,0.644191920634311,-0.6957277037927719,-0.3237177197459724,96.8846153846154,NE
Rv2217,lipB,lipoyltransferase ,11,4,True,-1.256928860596606,4.270736573775424e-08,-1.1018407688086118,1.2072983182618505e-12,-1.0177282728797268,-0.6593177240068983,13.563636363636363,GD
Rv2218,lipA,lipoyl synthase ,16,3,False,,,,,,,7.6,ES
Rv2219,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,10,6,False,,,,,,,32.92999999999999,ES
Rv2219A,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,3,3,True,0.3123118821597517,0.5660169721380159,0.4060746691605203,0.22314814401605923,-0.08169065262827144,-0.06375454546542192,80.06666666666668,NE
Rv2220,glnA1,GLUTAMINE SYNTHETASE GLNA1 (GLUTAMINE SYNTHASE) (GS-I) ,30,4,False,,,,,,,21.833333333333332,ES
Rv2221c,glnE,GLUTAMATE-AMMONIA-LIGASE ADENYLYLTRANSFERASE GLNE (Glutamine-synthetase adenylyltransferase) ,39,34,True,-0.8645208431070791,3.8483975728222095e-13,-0.9698500020872994,2.2613741563100272e-33,-0.45151861019490686,-0.2021395031648047,11.166666666666666,GD
Rv2222c,glnA2,PROBABLE GLUTAMINE SYNTHETASE GLNA2 (GLUTAMINE SYNTHASE) (GS-II) ,20,20,True,0.031573639294668686,0.8909587532398549,-0.06680107296257877,0.6323610944825071,-0.19072136199240064,0.0073583143227513,53.55000000000001,NE
Rv2223c,-,Probable exported protease ,29,29,True,0.4680692245723912,0.0019954467711606515,0.5351052059167156,4.045291782410097e-08,-0.2105118772178716,0.006031132667281924,154.5310344827586,GA
Rv2224c,-,Probable exported protease ,30,29,True,0.669414557293281,2.130088270279427e-06,0.5420282354814161,1.4582426170632648e-08,-0.25391133283423395,0.01368988275568372,272.0233333333333,GA
Rv2225,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase ,15,2,False,,,,,,,0.020000000000000004,ES
Rv2226,-,hypothetical protein Rv2226 ,25,25,True,-0.033616905496875474,0.8697351454984964,0.059486365525168956,0.6341932514640765,-0.27143133641029155,-0.07896502247816398,55.368,NE
Rv2227,-,hypothetical protein Rv2227 ,19,18,True,-0.26037622186845055,0.20359592105206883,-0.11976252509053271,0.3772969162687946,-0.49080939105069865,-0.3139296329491893,53.80526315789474,NE
Rv2228c,-,hypothetical protein Rv2228c ,20,13,True,-1.0650066503069726,2.2956473753860164e-10,-1.2203028901642705,3.236639090178377e-27,-0.9955428765557293,-0.6622149822701915,22.800000000000004,GD
Rv2229c,-,hypothetical protein Rv2229c ,5,4,True,-0.8435733857634876,0.025542655127875038,-0.7553499363092644,0.0020349914498017934,,,35.92,GD
Rv2230c,-,hypothetical protein Rv2230c ,16,16,True,-0.46332688192192856,0.028571439440491925,-0.35134609832875735,0.011247623164003462,-0.4701301874314895,-0.039603015210293906,31.6,GD
Rv2231c,cobC,hypothetical protein Rv2231c ,16,15,True,-0.3076714204746344,0.16570915747789147,-0.35037325542124986,0.011663130231257488,-0.3131056988232504,-0.15301866582320522,31.94375,GD
Rv2232,-,hypothetical protein Rv2232 ,11,10,True,-0.5890077358859347,0.02039175516031503,-0.2411343274299915,0.16217633676616622,-0.45970716960647484,-0.23291059434453196,22.736363636363635,NE
Rv2234,ptpA,PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPA (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) (LMW PHOSPHATASE) ,7,7,True,-0.07674667417521365,0.8401036934845698,-0.00775163413434876,0.9774389067541275,-0.3788291753550922,-0.040552746004707194,64.08571428571429,NE
Rv2235,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,15,11,True,-1.6142958296768648,1.9001899486603552e-17,-1.8842717010854608,3.592397777206397e-48,,,0.36666666666666664,GD
Rv2236c,cobD,cobalamin biosynthesis protein ,13,9,True,-0.7976452273437105,0.0003203961454748665,-0.40017374225930896,0.009085103633633308,,,21.976923076923075,GD
Rv2237,-,hypothetical protein Rv2237 ,17,16,True,0.23380772157786905,0.2840778736980744,0.30655133609736657,0.023650215389915807,-0.32914419079105206,-0.08734722829411469,117.96470588235294,GA
Rv2238c,ahpE,Probable peroxiredoxin AhpE ,6,4,True,-0.6355637098824142,0.07170432504911609,-0.1455881145950148,0.5603679230474363,-0.6828677672469022,-0.3536042807951775,33.9,NE
Rv2239c,-,hypothetical protein Rv2239c ,4,4,True,0.09259449990579549,0.855239189977657,-0.3486168967737994,0.22806922225352336,-0.08203647512171944,0.035098200938328675,48.074999999999996,NE
Rv2240c,-,hypothetical protein Rv2240c ,11,11,True,0.10336241052280236,0.7241262830884989,-0.00011785416922445205,0.9993636613095316,-0.4276913300577798,-0.14066956825986726,109.26363636363635,NE
Rv2241,aceE,pyruvate dehydrogenase subunit E1 ,58,58,True,0.1528731632279477,0.19149593777817212,0.04357654551296024,0.5917973150799691,-0.24840209720624143,-0.03392008361539777,81.14655172413794,NE
Rv2242,-,hypothetical protein Rv2242 ,17,4,False,,,,,,,2.3470588235294123,ES
Rv2243,fabD,acyl-carrier-protein S-malonyltransferase ,7,2,False,,,,,,,21.314285714285717,ES
Rv2244,acpP,acyl carrier protein ,6,0,False,,,,,,,0.0,ESB
Rv2245,kasA,3-oxoacyl-(acyl carrier protein) synthase II ,16,2,False,,,,,,,0.5,ES
Rv2246,kasB,3-oxoacyl-(acyl carrier protein) synthase II ,19,18,True,-0.09473775367640057,0.6663682520037489,-0.10946628774023873,0.4242502416229188,-0.23218914048996586,0.05157880541770642,43.83157894736842,NE
Rv2247,accD6,ACETYL/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD6 ,14,10,True,-1.3943259055663195,2.5266514707829722e-12,-1.4690064968212087,1.107924868402523e-27,-0.6653987931042522,-0.467922611649234,3.7642857142857147,GD
Rv2248,-,hypothetical protein Rv2248 ,12,12,True,0.04716145973908082,0.8742614749179243,0.036676105365603784,0.8446893490171474,-0.1514457282964005,-0.013568624409941209,50.73333333333334,NE
Rv2249c,glpD1,PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE GLPD1 ,20,18,True,-0.6277472883463527,0.000467530831015482,-0.5568411062967582,2.7434982828012546e-06,-0.6812385360677014,-0.42299364250165095,34.42999999999999,GD
Rv2250c,-,Possible transcriptional regulatory protein ,11,11,True,0.02659992696190024,0.931949217108918,0.0044129692999600525,0.9821847607928714,-0.3886945412627801,-0.11913730025883046,83.5,NE
Rv2250A,-,POSSIBLE FLAVOPROTEIN ,1,1,True,-0.440828287799181,0.643909045354051,0.03596369018479711,0.9589771465443546,1.880438559778869e-14,2.208309898406971e-14,11.3,NE
Rv2251,-,POSSIBLE FLAVOPROTEIN ,9,9,True,0.12935391454862058,0.6882696734363684,0.08326591927503643,0.6941215466861215,-0.1732970835111161,-0.06690616840955307,64.6222222222222,NE
Rv2252,-,diacylglycerol kinase ,18,16,True,-0.613914222789088,0.0013196889649182907,-0.3440887292306498,0.008272814257130862,-0.4989424535759819,-0.20536250153933458,23.41111111111111,GD
Rv2253,-,Possible secreted unknown protein ,12,11,True,-0.10901293719804196,0.697100984533943,-0.0926423295276104,0.6045356237712285,-0.5304868110417286,-0.3254312576945185,84.24166666666667,NE
Rv2254c,-,Probable integral membrane protein ,6,6,True,-0.3142463353267963,0.40260092145392845,0.21740186231876324,0.36679202249663606,-0.4447476632403913,-0.04641984420009987,42.583333333333336,NE
Rv2255c,-,hypothetical protein Rv2255c ,2,2,True,0.511518375662942,0.4344382338499663,0.628771708897459,0.11818260313608495,-0.14970250255626041,0.11306829638062993,148.55,NE
Rv2256c,-,hypothetical protein Rv2256c ,7,7,True,0.043661148565749965,0.9115547904542151,-0.0716619565013165,0.7637472968329296,-0.13480339128128543,0.07177135523872401,48.42857142857144,NE
Rv2257c,-,hypothetical protein Rv2257c ,10,10,True,0.359755969572722,0.20227356722575984,0.3144543632251339,0.07871575796819014,-0.21852137224180168,-0.0030303269895677123,122.47999999999998,NE
Rv2258c,-,Possible transcriptional regulatory protein ,15,15,True,0.6469355182381508,0.002130857200284887,0.46368216425644826,0.0009846610118589424,-0.21112565964108865,0.005513205092561104,234.0266666666667,GA
Rv2259,adhE2,Probable zinc-dependent alcohol dehydrogenase AdhE2 ,14,14,True,0.0749997376939662,0.7754326793118794,0.1444328948561137,0.36030446347596207,-0.25969915582926006,-0.12717243548057397,69.46428571428571,NE
Rv2260,-,hypothetical protein Rv2260 ,6,6,True,-0.23754564861843194,0.5347611444984774,-0.14012902666487453,0.5766355434298578,-0.3037371178306127,-0.10293452139876963,36.916666666666664,NE
Rv2261c,-,hypothetical protein Rv2261c ,7,7,True,0.3906455053820355,0.24951861854754723,0.25127567152154096,0.2528734755796385,-0.19063026616333653,-0.09111153414410543,123.38571428571427,NE
