#Gumbel
#Console: python3 /home/grads/s/schoudhery/.local/bin/transit gumbel murray2013_caulobacter_table_S3_remapped.wig Caulobacter_NA1000.prot_table Caulobacter_gumbel.txt
#Data: b'murray2013_caulobacter_table_S3_remapped.wig'
#Annotation path: b'Caulobacter_NA1000.prot_table'
#FDR Corrected thresholds: 0.996100, 0.064400
#MH Acceptance-Rate:	19.91%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.048927
#Time: 153.75576615333557
#Orf	Name	Desc	k	n	r	s	zbar	Call
CCNA_02112	-	D-cysteine desulfhydrase	13	13	0	0	0.000000	NE
CCNA_02113	-	aspartate racemase	8	8	0	0	0.000000	NE
CCNA_02114	-	hypothetical protein	2	3	1	2	-1.000000	S
CCNA_02115	-	secreted pectate lyase-family protein	34	34	0	0	0.503600	U
CCNA_02116	-	conserved hypothetical protein	17	18	1	2	0.000000	NE
CCNA_02117	-	polyketide cyclase/lipid transport protein	6	6	0	0	0.000000	NE
CCNA_02118	-	ATP-dependent helicase, dinG family	12	12	0	0	0.000000	NE
CCNA_02119	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02120	-	tetratricopeptide repeat family protein	14	17	1	2	0.000000	NE
CCNA_02121	-	ATP-dependent helicase	20	20	0	0	0.075500	U
CCNA_02122	-	DNA ligase-associated metallophosphoesterase	5	5	0	0	0.000000	NE
CCNA_02123	-	transposase	8	9	1	2	0.000000	NE
CCNA_02124	-	conserved hypothetical protein	9	10	1	2	0.000000	NE
CCNA_02125	podJ	polar development protein podJ	24	26	1	2	0.000000	NE
CCNA_02126	-	conserved hypothetical protein	2	3	1	2	-1.000000	S
CCNA_02127	-	oxacillin resistance-associated protein fmtC	13	13	0	0	0.000000	NE
CCNA_02128	-	acyl-CoA dehydrogenase	8	8	0	0	0.000000	NE
CCNA_02129	-	acyl-CoA dehydrogenase, short-chain specific	8	8	0	0	0.000000	NE
CCNA_02130	-	pyruvate kinase	9	9	0	0	0.000000	NE
CCNA_02131	celD	glucan 1,4-beta-glucosidase	26	27	1	2	0.000000	NE
CCNA_02132	-	LacI-family transcriptional regulator	11	12	1	2	0.000000	NE
CCNA_02133	glk	glucokinase	7	7	0	0	0.000000	NE
CCNA_02134	edd	phosphogluconate dehydratase	14	14	0	0	0.000000	NE
CCNA_02135	pgl	6-phosphogluconolactonase	2	2	0	0	-1.000000	S
CCNA_02136	zwf	glucose-6-phosphate 1-dehydrogenase	16	16	0	0	0.000000	NE
CCNA_02137	-	endoglucanase H	26	29	1	2	0.000000	NE
CCNA_02138	-	conserved hypothetical protein	1	2	1	2	-1.000000	S
CCNA_02139	pflI	polar flagellum positioning protein pflI	0	0	0	0	-1.000000	S
CCNA_02140	fliM	flagellar motor switch protein fliM	6	9	1	2	0.000000	NE
CCNA_02141	fliL	flagellar fliL protein	2	2	0	0	-1.000000	S
CCNA_02142	flgF	flagellar basal-body rod protein flgF	6	6	0	0	0.000000	NE
CCNA_02143	flgG	flagellar basal-body rod protein flgG	10	10	0	0	0.000000	NE
CCNA_02144	flgA	flagella basal body P ring formation protein flgA	4	4	0	0	0.000000	NE
CCNA_02145	flgH	flagellar L-ring protein flgH	4	6	1	2	0.000000	NE
CCNA_02146	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_02147	-	hypothetical protein	12	14	1	2	0.000000	NE
CCNA_02148	-	hypothetical protein	2	3	1	2	-1.000000	S
CCNA_02149	dxs	1-deoxy-D-xylulose 5-phosphate synthase	3	20	10	693	0.999900	E
CCNA_02150	-	dimethylallyltransferase/geranyltranstransferase	0	6	6	629	1.000000	E
CCNA_02151	-	exodeoxyribonuclease VII small subunit	1	1	0	0	-1.000000	S
CCNA_02152	-	phosphoglycerate mutase	5	6	1	2	0.000000	NE
CCNA_02153	-	acetylspermidine deacetylase	8	8	0	0	0.000000	NE
CCNA_02154	-	GCN5-related N-acetyltransferase	10	10	0	0	0.000000	NE
CCNA_02155	-	conserved hypothetical protein	16	16	0	0	0.000000	NE
CCNA_02156	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_02157	-	HipB-family transcriptional regulator	5	5	0	0	-1.000000	S
CCNA_02158	-	GT2 family glycosyltransferase	9	9	0	0	0.000000	NE
CCNA_02159	-	hypothetical protein	4	8	2	8	0.000000	NE
CCNA_02160	-	hypothetical protein	4	4	0	0	0.000000	NE
CCNA_02161	-	TetR-family transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_02163	-	hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02164	-	glutamate dehydrogenase/leucine dehydrogenase	7	7	0	0	0.000000	NE
CCNA_02165	-	lysophospholipase	10	10	0	0	0.000000	NE
CCNA_02166	-	uracil DNA glycosylase superfamily protein	6	6	0	0	0.000000	NE
CCNA_02167	-	glutathione S-transferase	8	8	0	0	0.000000	NE
CCNA_02169	-	thioesterase superfamily protein	1	1	0	0	-1.000000	S
CCNA_02170	-	glutathione S-transferase	5	5	0	0	0.000000	NE
CCNA_02171	-	nucleoside permease nupC	6	6	0	0	0.000000	NE
CCNA_02172	-	ABC-type transporter, permease component	11	13	2	70	0.000000	NE
CCNA_02173	-	ABC transporter ATP-binding protein	5	5	0	0	0.000000	NE
CCNA_02174	-	multidrug resistance efflux pump	8	8	0	0	0.000000	NE
CCNA_02175	-	hypothetical protein	6	6	0	0	0.000000	NE
CCNA_02176	-	hypothetical protein	4	4	0	0	-1.000000	S
CCNA_02177	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_02178	-	short-chain alcohol dehydrogenase	9	10	1	2	0.000000	NE
CCNA_02179	-	long-chain fatty acid transport protein precursor	19	19	0	0	0.000000	NE
CCNA_02180	-	iron-sulfur cluster assembly/repair protein ApbC	4	6	1	2	0.000000	NE
CCNA_02181	-	phosphatase/phosphohexomutase family protein	5	5	0	0	0.000000	NE
CCNA_02182	-	phosphoserine phosphatase	9	9	0	0	0.000000	NE
CCNA_02183	miaA	tRNA delta(2)-isopentenylpyrophosphate transferase	4	7	1	2	0.000000	NE
CCNA_02184	-	competence damage-inducible protein cinA	6	6	0	0	0.000000	NE
CCNA_02185	-	acetolactate synthase large subunit	19	20	1	2	0.000000	NE
CCNA_02186	-	acetolactate synthase small subunit	7	7	0	0	0.000000	NE
CCNA_02187	sspB	adapter for ClpXP proteolysis of tmRNA-tagged proteins SspB	6	6	0	0	0.000000	NE
CCNA_02188	-	PaaI-family thioesterase	2	2	0	0	-1.000000	S
CCNA_02189	-	peptidase, C13 family	9	9	0	0	0.000000	NE
CCNA_02190	-	penicillin-binding protein	22	22	0	0	0.266900	U
CCNA_02191	-	hypothetical protein	7	8	1	2	0.000000	NE
CCNA_02192	rusA	endodeoxyribonuclease RusA	6	6	0	0	0.000000	NE
CCNA_02193	-	conserved hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02194	-	fumarate hydratase	1	11	10	1317	0.998700	E
CCNA_02195	-	acetyltransferase	1	1	0	0	-1.000000	S
CCNA_02196	-	conserved hypothetical membrane protein	3	3	0	0	0.000000	NE
CCNA_02197	-	hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02198	-	trans-isoprenyl diphosphate synthase	0	6	6	389	1.000000	E
CCNA_02199	-	methyltransferase	3	5	2	217	0.006300	NE
CCNA_02200	-	cytochrome c-family protein	5	5	0	0	0.000000	NE
CCNA_02201	-	nucleoside 2-deoxyribosyltransferase	10	10	0	0	0.000000	NE
CCNA_02202	-	SCP domain protein	13	14	1	2	0.000000	NE
CCNA_02203	-	YceI-like domain protein	4	4	0	0	0.000000	NE
CCNA_02204	-	ketol-acid reductoisomerase/2-dehydropantoate 2-reductase	9	16	3	15	0.000100	NE
CCNA_02205	-	conserved hypothetical protein	18	20	1	2	0.000000	NE
CCNA_02206	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_02207	-	conserved hypothetical protein	9	10	1	2	0.000000	NE
CCNA_02208	-	thymidylate synthase	0	10	10	743	1.000000	E
CCNA_02209	-	quinone oxidoreductase	12	15	1	2	0.000000	NE
CCNA_02210	-	dihydrofolate reductase	0	3	3	253	0.999800	E
CCNA_02211	-	zinc ribbon domain protein	11	11	0	0	0.000000	NE
CCNA_02212	-	gluconolactonase	10	10	0	0	0.000000	NE
CCNA_02213	-	old yellow enzyme (OYE)-family NADH:flavin oxidoreductase	8	8	0	0	0.000000	NE
CCNA_02214	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_02215	-	acyl-CoA dehydrogenase	19	19	0	0	0.000000	NE
CCNA_02216	-	ABM family monooxygenase	5	5	0	0	0.000000	NE
CCNA_02217	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02218	-	DnaJ-like protein djlA	8	9	1	2	0.000000	NE
CCNA_02219	-	hypothetical protein	9	10	1	2	0.000000	NE
CCNA_02220	-	beta-glucosidase	22	24	1	2	0.000000	NE
CCNA_02221	-	methionine synthase I metH	34	36	1	2	0.000000	NE
CCNA_02222	-	5-methyltetrahydrofolate--homocysteine methyltransferase homocysteine-binding subunit	11	12	1	2	0.000000	NE
CCNA_02223	-	beta-lactamase, type II	8	8	0	0	0.000000	NE
CCNA_02224	-	methylenetetrahydrofolate reductase	7	7	0	0	0.000000	NE
CCNA_02225	-	ArsR family/SAM-dependent transcriptional regulator	6	6	0	0	0.000000	NE
CCNA_02226	-	glyoxalase family protein	6	6	0	0	0.000000	NE
CCNA_02227	-	LysR-family transcriptional regulator	10	11	1	2	0.000000	NE
CCNA_02228	-	NTF2 superfamily protein	9	10	1	2	0.000000	NE
CCNA_02229	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_02230	-	gluconate 2-dehydrogenase	8	9	1	2	0.000000	NE
CCNA_02231	-	ABC transporter ATP-binding protein	18	18	0	0	0.000000	NE
CCNA_02232	-	TonB-dependent receptor	42	44	1	2	0.000000	NE
CCNA_02233	-	signal peptidase I	11	11	0	0	0.000000	NE
CCNA_02234	-	EF hand domain protein	0	0	0	0	-1.000000	S
CCNA_02235	-	SGNH hydrolase family protein	17	20	2	8	0.000000	NE
CCNA_02236	-	polysaccharide deacetylase family	11	11	0	0	0.000000	NE
CCNA_02237	-	Xaa-pro dipeptidyl-peptidase	42	46	2	22	0.000000	NE
CCNA_02238	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02239	-	conserved hypothetical protein	22	22	0	0	0.265900	U
CCNA_02240	-	glycerophosphoryl diester phosphodiesterase	7	7	0	0	0.000000	NE
CCNA_02241	-	endoribonuclease L-PSP	4	4	0	0	0.000000	NE
CCNA_02242	-	PHB granule-associated protein, phasin2	3	3	0	0	-1.000000	S
CCNA_02243	-	D-alanyl-D-alanine serine-type carboxypeptidase	15	15	0	0	0.000000	NE
CCNA_02244	-	aminotransferase class I family protein	15	17	1	2	0.000000	NE
CCNA_02245	-	DnaJ domain protein	6	6	0	0	0.000000	NE
CCNA_02246	mipZ	division plane positioning ATPase MipZ	2	5	3	581	0.997000	E
CCNA_02247	-	pantoate-beta-alanine ligase	5	10	2	42	0.000000	NE
CCNA_02248	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02249	-	conserved hypothetical cytosolic protein	4	4	0	0	0.000000	NE
CCNA_02250	-	methylcrotonyl-CoA carboxylase biotin-containing subunit	10	13	1	2	0.000000	NE
CCNA_02251	-	methylglutaconyl-CoA hydratase	1	1	0	0	-1.000000	S
CCNA_02252	-	methylcrotonyl-CoA carboxylase carboxyl transferase subunit	18	20	1	2	0.000000	NE
CCNA_02253	-	hybrid CAP effector domain/patatin phospholipase protein	17	17	0	0	0.000000	NE
CCNA_02254	-	isovaleryl-CoA dehydrogenase	14	14	0	0	0.000000	NE
CCNA_02255	spmX	lysozyme-family localization factor spmX	8	9	1	2	0.000000	NE
CCNA_02256	-	Mg2+ transporter mgtE	10	14	4	375	0.996600	E
CCNA_02257	-	fliN family protein	4	4	0	0	0.000000	NE
CCNA_02258	-	lipoate-protein ligase B	1	6	5	540	0.999900	E
CCNA_02259	-	hypothetical protein	8	9	1	2	0.000000	NE
CCNA_02260	-	conserved hypothetical membrane protein	4	5	1	2	0.000000	NE
CCNA_02261	-	propionyl-CoA carboxylase biotin-containing subunit	14	15	1	2	0.000000	NE
CCNA_02262	-	laminin G domain protein	40	42	1	2	0.000000	NE
CCNA_02263	-	glcG-family protein	4	4	0	0	0.000000	NE
CCNA_02264	-	thiJ/PfpI family	5	5	0	0	0.000000	NE
CCNA_02265	-	peptide methionine sulfoxide reductase msrB	4	4	0	0	0.000000	NE
CCNA_02266	-	glutathione S-transferase GST	14	15	1	2	0.000000	NE
CCNA_02267	-	serine hydrolase family protein	3	3	0	0	0.000000	NE
CCNA_02268	-	laminin G domain protein	7	7	0	0	0.000000	NE
CCNA_02269	-	L-aminopeptidase/D-esterase dmpA	4	4	0	0	0.000000	NE
CCNA_02270	-	MarR-family transcriptional regulator	5	5	0	0	0.000000	NE
CCNA_02271	stpD	stalk cross-band protein StpD	3	3	0	0	0.000000	NE
CCNA_02272	-	hypothetical protein	5	5	0	0	-1.000000	S
CCNA_02273	-	glutathione peroxidase	4	4	0	0	0.000000	NE
CCNA_02274	-	EF-Hand domain protein	4	4	0	0	0.000000	NE
CCNA_02275	-	ABC transporter, periplasmic component	8	9	1	2	0.000000	NE
CCNA_02277	-	TonB-dependent outer membrane channel	25	25	0	0	0.471100	U
CCNA_02278	-	conserved hypothetical membrane protein	7	7	0	0	0.000000	NE
CCNA_02279	-	disulfide bond formation protein B	3	6	3	121	0.000200	NE
CCNA_02280	-	2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	2	3	1	2	0.000000	NE
CCNA_02281	-	membrane alanine aminopeptidase	25	25	0	0	0.474700	U
CCNA_02282	-	conserved hypothetical protein	3	3	0	0	0.000000	NE
CCNA_02283	-	HNH endonuclease family protein	9	9	0	0	0.000000	NE
CCNA_02284	-	DNA-3-methyladenine glycosylase II	6	7	1	2	0.000000	NE
CCNA_02285	greB	transcription elongation factor GreB	3	3	0	0	0.000000	NE
CCNA_02286	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02287	-	TetR-family transcriptional regulator	6	6	0	0	0.000000	NE
CCNA_02288	-	tRNA synthetase class I, catalytic domain protein	10	10	0	0	0.000000	NE
CCNA_02289	-	MarR/EmrR family transcriptional regulator	3	3	0	0	0.000000	NE
CCNA_02290	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_02291	-	hypothetical protein	12	13	1	2	0.000000	NE
CCNA_02292	-	acetyltransferase	5	10	3	197	0.002300	NE
CCNA_02293	-	thiol:disulfide interchange protein tlpA	9	9	0	0	0.000000	NE
CCNA_02294	-	argininosuccinate lyase	6	7	1	2	0.000000	NE
CCNA_02295	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_02296	-	diaminopimelate decarboxylase	14	15	1	2	0.000000	NE
CCNA_02297	-	hypoxanthine-guanine phosphoribosyltransferase	4	4	0	0	0.000000	NE
CCNA_02298	-	MJ0042 family finger-like domain protein	3	4	1	2	0.000000	NE
CCNA_02299	ftsE	cell division ATP-binding protein FtsE	7	7	0	0	0.000000	NE
CCNA_02300	ftsX	cell division protein FtsX	2	3	1	2	0.000000	NE
CCNA_02301	-	YdcF-like family protein	9	9	0	0	0.000000	NE
CCNA_02302	-	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	6	5	202	0.458300	U
CCNA_02303	-	cation transport protein chaC	10	11	1	2	0.000000	NE
CCNA_02304	-	conserved hypothetical protein	8	9	1	2	0.000000	NE
CCNA_02305	-	chorismate mutase-family protein	3	3	0	0	0.000000	NE
CCNA_02306	-	histidinol-phosphate aminotransferase	12	12	0	0	0.000000	NE
CCNA_02307	-	cyclohexadienyl dehydrogenase	7	7	0	0	0.000000	NE
CCNA_02308	-	conserved hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02309	-	EF hand domain protein	0	0	0	0	-1.000000	S
CCNA_02310	-	glycosyl hydrolase, family 9	25	27	1	2	0.000000	NE
CCNA_02311	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_02312	-	TraB superfamily protein	5	5	0	0	0.000000	NE
CCNA_02313	-	alpha/beta hydrolase family protein	6	6	0	0	0.000000	NE
CCNA_02314	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_02315	-	Cro/CI-family transcriptional regulator	1	1	0	0	-1.000000	S
CCNA_02316	-	conserved hypothetical protein	11	12	1	2	0.000000	NE
CCNA_02317	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_02318	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_02319	-	hypothetical protein	6	6	0	0	0.000000	NE
CCNA_02320	-	2'-deoxycytidine 5'-triphosphate deaminase	6	10	2	23	0.000000	NE
CCNA_02321	-	O-succinylhomoserine sulfhydrylase	7	7	0	0	0.000000	NE
CCNA_02322	-	Co2+/Mg2+ efflux protein ApaG	7	7	0	0	0.000000	NE
CCNA_02324	hsp33	heat shock protein 33 hsp33	10	10	0	0	0.000000	NE
CCNA_02325	-	ornithine carbamoyltransferase	2	3	1	2	0.000000	NE
CCNA_02326	-	acetylornithine aminotransferase/succinyldiaminopimelate aminotransferase	10	11	1	2	0.000000	NE
CCNA_02327	-	ABC transporter permease protein	10	11	1	2	0.000000	NE
CCNA_02328	gcrA	cell cycle regulatory protein GcrA	1	4	3	354	0.998200	E
CCNA_02329	-	exodeoxyribonuclease VII large subunit	6	7	1	2	0.000000	NE
CCNA_02330	-	conserved hypothetical protein	4	4	0	0	-1.000000	S
CCNA_02331	-	peptidoglycan-specific endopeptidase, M23 family	8	9	1	2	0.000000	NE
CCNA_02332	-	chemotaxis receiver protein cheYIII	5	5	0	0	0.000000	NE
CCNA_02333	-	lipid A biosynthesis lauroyl acyltransferase	3	9	5	292	0.999300	E
CCNA_02334	staR	transcriptional regulator of stalk biogenesis staR	5	5	0	0	0.000000	NE
CCNA_02335	-	inositol monophosphatase family protein	6	6	0	0	0.000000	NE
CCNA_02336	-	lysophospholipase L2	10	10	0	0	0.000000	NE
CCNA_02337	-	nonspecific lipid-transfer protein	0	0	0	0	-1.000000	S
CCNA_02338	-	conserved hypothetical protein	8	9	1	2	0.000000	NE
CCNA_02339	-	methyltransferase	8	9	1	2	0.000000	NE
CCNA_02340	-	methyltransferase	10	10	0	0	0.000000	NE
CCNA_02341	-	small heat shock protein	8	8	0	0	0.000000	NE
CCNA_02342	-	hypothetical protein with pentapeptide repeats	4	4	0	0	0.000000	NE
CCNA_02343	-	hypothetical protein with pentapeptide repeats	12	13	1	2	0.000000	NE
CCNA_02344	-	phosphoglycerate mutase	6	7	1	2	0.000000	NE
CCNA_02345	-	hypothetical protein	0	0	0	0	-1.000000	S
CCNA_02346	-	arabinose-5-phosphate isomerase	7	8	1	2	0.000000	NE
CCNA_02347	-	phosphomannomutase/phosphoglucomutase	19	19	0	0	0.000000	NE
CCNA_02348	-	acetyltransferase, GNAT family	7	8	1	2	0.000000	NE
CCNA_02349	-	nucleoside phosphorylase	6	7	1	2	0.000000	NE
CCNA_02350	-	dimeric ferredoxin-like protein	4	5	1	2	0.000000	NE
CCNA_02351	-	uracil phosphoribosyltransferase	9	9	0	0	0.000000	NE
CCNA_02352	-	membrane-bound aldehyde dehydrogenase, large subunit	18	19	1	2	0.000000	NE
CCNA_02353	-	membrane-bound aldehyde dehydrogenase iron-sulfur protein	5	5	0	0	0.000000	NE
CCNA_02354	-	phosphohydrolase, MutT/nudix family protein	5	6	1	2	0.000000	NE
CCNA_02355	-	endonuclease III	7	7	0	0	0.000000	NE
CCNA_02356	-	D-alanyl-D-alanine dipeptidase	16	17	1	2	0.000000	NE
CCNA_02357	-	methylmalonic acid semialdehyde dehydrogenase	11	11	0	0	0.000000	NE
CCNA_02358	-	FMN reductase	5	5	0	0	0.000000	NE
CCNA_02359	-	conserved hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02360	-	glycosyl transferase family 2 protein	9	9	0	0	0.000000	NE
CCNA_02361	-	polysaccharide biosynthesis protein celD	12	12	0	0	0.000000	NE
CCNA_02362	-	GAF domain-containing protein	4	4	0	0	0.000000	NE
CCNA_02363	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02364	-	methyl-accepting chemotaxis protein	15	18	1	2	0.000000	NE
CCNA_02365	-	glucoamylase	34	35	1	2	0.000000	NE
CCNA_02366	malY	cytoplasmic membrane maltose transporter malY	17	17	0	0	0.000000	NE
CCNA_02367	-	CelR-family transcriptional regulator	8	9	1	2	0.000000	NE
CCNA_02368	-	alpha-glucosidase	15	15	0	0	0.000000	NE
CCNA_02369	-	alpha-amylase	33	34	1	2	0.000000	NE
CCNA_02370	malA	TonB-dependent maltose outer membrane transporter malA	42	44	1	2	0.000000	NE
CCNA_02371	-	tryptophan halogenase superfamily protein	19	19	0	0	0.000000	NE
CCNA_02372	-	hypothetical protein	1	1	0	0	-1.000000	S
CCNA_02373	-	transposase	12	14	2	57	0.000000	NE
CCNA_02374	-	transposase	3	3	0	0	0.000000	NE
CCNA_02375	-	hypothetical protein	3	3	0	0	0.000000	NE
CCNA_02376	-	hypothetical protein	6	6	0	0	0.000000	NE
CCNA_02377	-	hypothetical protein	18	19	1	2	0.000000	NE
CCNA_02378	-	SIMPL family protein	8	8	0	0	0.000000	NE
CCNA_02379	-	hypothetical protein	4	4	0	0	0.000000	NE
CCNA_02380	-	aspartate 1-decarboxylase	4	4	0	0	0.000000	NE
CCNA_02381	-	hypothetical protein	7	7	0	0	0.000000	NE
CCNA_02382	-	membrane peptidase, M23 family	10	10	0	0	0.000000	NE
CCNA_02383	-	alpha/beta hydrolase family protein	15	15	0	0	0.000000	NE
CCNA_02384	-	very-long-chain acyl-CoA synthetase	29	29	0	0	0.493900	U
CCNA_02385	-	3-deoxy-7-phosphoheptulonate synthase	12	15	1	2	0.000000	NE
CCNA_02386	-	O-antigen ligase related enzyme	14	15	1	2	0.000000	NE
CCNA_02387	-	glutathione reductase	17	18	1	2	0.000000	NE
CCNA_02388	-	ribose 5-phosphate isomerase	2	4	2	55	0.000000	NE
CCNA_02389	-	glucosamine-1-phosphate acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase	1	9	5	632	0.999900	E
CCNA_02390	-	phosphoglycolate phosphatase	3	4	1	2	0.000000	NE
CCNA_02391	-	oxidoreductase	6	6	0	0	0.000000	NE
CCNA_02392	-	SnoaL-like domain protein	8	8	0	0	0.000000	NE
CCNA_02394	-	glutathione S-transferase	7	7	0	0	0.000000	NE
CCNA_02395	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02396	-	GST / metaxin-like protein	11	12	1	2	0.000000	NE
CCNA_02397	-	DeoR-family transcriptional regulator	4	5	1	2	0.000000	NE
CCNA_02398	-	endo-1,4-beta-xylanase	9	9	0	0	0.000000	NE
CCNA_02399	-	23S rRNA methyltransferase	3	4	1	2	0.000000	NE
CCNA_02400	-	transporter, major facilitator superfamily	14	14	0	0	0.000000	NE
CCNA_02401	-	SalR-family ligand-binding transcriptional regulator	11	11	0	0	0.000000	NE
CCNA_02402	-	methyl-accepting chemotaxis protein	7	12	2	23	0.000000	NE
CCNA_02403	-	ABC transporter permease protein	13	13	0	0	0.000000	NE
CCNA_02404	-	ABC transporter ATP-binding protein	5	5	0	0	0.000000	NE
CCNA_02405	-	ABC membrane transporter, periplasmic component	6	6	0	0	0.000000	NE
CCNA_02406	-	membrane lipoprotein	6	6	0	0	0.000000	NE
CCNA_02407	-	hydrolase, nudix family	10	10	0	0	0.000000	NE
CCNA_02408	-	conserved hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02409	-	hybrid sensor histidine kinase/receiver protein	9	9	0	0	0.000000	NE
CCNA_02410	-	alpha-methylacyl-CoA racemase	13	13	0	0	0.000000	NE
CCNA_02411	pleA	putative lytic transglycosylase PleA	9	10	1	2	0.000000	NE
CCNA_02412	-	TonB protein	6	6	0	0	0.000000	NE
CCNA_02413	-	acyl-CoA dehydrogenase	16	16	0	0	0.000000	NE
CCNA_02414	-	DadA-related amino acid oxidase	6	6	0	0	0.000000	NE
CCNA_02415	-	Xre-family transcriptional regulator	7	7	0	0	0.000000	NE
CCNA_02416	-	DNA-binding protein HU	1	1	0	0	-1.000000	S
CCNA_02417	-	biotin synthase related domain containing protein	20	20	0	0	0.076200	U
CCNA_02418	-	uracil DNA glycosylase superfamily protein	14	14	0	0	0.000000	NE
CCNA_02419	tonB1	TonB1 protein	10	10	0	0	0.000000	NE
CCNA_02420	exbD	TonB accessory protein exbD	8	10	2	40	0.000000	NE
CCNA_02421	exbB	TonB accessory protein exbB	11	13	2	20	0.000000	NE
CCNA_02422	-	short chain dehydrogenase	8	8	0	0	0.000000	NE
CCNA_02423	-	conserved hypothetical protein	2	3	1	2	0.000000	NE
CCNA_02424	-	TetR-family transcriptional regulator	10	10	0	0	0.000000	NE
CCNA_02425	-	non-essential pilus assembly protein	1	1	0	0	-1.000000	S
CCNA_02426	-	ribonuclease, CafA family	7	8	1	2	0.000000	NE
CCNA_02427	-	septum formation protein Maf	8	9	1	2	0.000000	NE
CCNA_02428	-	translation initiation factor 1 (IF-1)	1	6	5	174	0.999900	E
CCNA_02429	-	arsenate reductase	6	6	0	0	0.000000	NE
CCNA_02430	-	conserved hypothetical cytosolic protein	6	6	0	0	0.000000	NE
CCNA_02431	-	histidinol dehydrogenase	11	11	0	0	0.000000	NE
CCNA_02432	-	nucleobase-cation-symport-1 (NCS1) transporter	23	23	0	0	0.372700	U
CCNA_02433	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02434	-	conserved hypothetical protein	0	1	1	2	-1.000000	S
CCNA_02435	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	0	9	9	1036	1.000000	E
CCNA_02436	-	hypothetical protein	4	4	0	0	0.000000	NE
CCNA_02437	-	LysR-family transcriptional regulator	8	8	0	0	0.000000	NE
CCNA_02438	-	quinone oxidoreductase	11	12	1	2	0.000000	NE
CCNA_02439	-	transporter, major facilitator superfamily	16	16	0	0	0.000000	NE
CCNA_02440	-	SalR-family ligand-binding transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_02441	-	HTH DNA-binding protein	0	0	0	0	-1.000000	S
CCNA_02442	xynB2	beta-xylosidase II	27	28	1	2	0.000000	NE
CCNA_02443	-	carboxymethylenebutenolidase	12	13	1	2	0.000000	NE
CCNA_02444	-	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	9	10	1	2	0.000000	NE
CCNA_02445	-	copper homeostasis protein cutC	7	7	0	0	0.000000	NE
CCNA_02446	-	glutathionylspermidine synthase family	18	18	0	0	0.000000	NE
CCNA_02447	-	PspA/IM30 family regulatory protein	3	3	0	0	0.000000	NE
CCNA_02448	-	conserved hypothetical protein	6	6	0	0	0.000000	NE
CCNA_02449	-	conserved hypothetical protein	8	8	0	0	0.000000	NE
CCNA_02450	-	conserved hypothetical membrane protein	6	6	0	0	0.000000	NE
CCNA_02451	-	conserved hypothetical membrane protein	11	11	0	0	0.000000	NE
CCNA_02452	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_02453	-	protein tyrosine phosphatase	4	4	0	0	-1.000000	S
CCNA_02454	-	N-methylhydantoinase HyuB	32	34	1	2	0.000000	NE
CCNA_02455	-	conserved integral membrane protein	6	6	0	0	0.000000	NE
CCNA_02456	-	ribonuclease III	8	8	0	0	0.000000	NE
CCNA_02457	-	nitropropane dioxygenase/trans-enoyl-CoA reductase family protein	9	10	1	2	0.000000	NE
CCNA_02458	-	methylmalonyl-CoA mutase beta subunit	9	10	1	2	0.000000	NE
CCNA_02459	-	methylmalonyl-CoA mutase alpha subunit	25	25	0	0	0.470900	U
